,Unnamed: 0,Uniprot Accession,Description,primary_name,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,locus_tag,annotation_quality,mean_log_val
23,23,P0AFG3,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,42,2817.04,104977.5259,2,1706,6084,4467.0,4195,2635,3326,2752,4196,3640,2817,2323,2149,1246,1026,1781,1952,2400,3205.0,3022.0,1630,3418,3460.0,b0726,high,11.371022942071695
24,24,P00956,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,41,2164.51,104212.5396,2,2166,2886,2350.0,1348,1657,1621,1814,1921,1647,1363,1074,884,927,959,2086,2950,2024,2454.0,1625.0,1357,1569,2021.0,b0026,high,10.702866899870294
25,25,P25553,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,41,2623.32,52221.71682,2,3501,11229,10885.0,17217,28815,17164,16408,27353,19056,31012,35721,36655,1866,1868,1805,1689,1864,5994.0,30561.0,28622,27057,9487.0,b1415,high,13.367710436970885
26,26,P10408,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,40,2576.06,101940.9335,2,706,1794,1114.0,451,665,737,622,790,935,836,757,750,326,342,442,666,552,660.0,709.0,442,617,771.0,b0098,high,9.376741295475576
27,27,P21889,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,40,2303.66,65853.62132,2,2272,4356,2530.0,1505,1690,1748,1837,1605,2331,1930,1517,1483,1254,1252,2006,1914,2532,2747.0,2029.0,1397,1967,2590.0,b1866,high,10.918362817030628
28,28,P07395,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,40,2768.54,87305.38731,2,5023,7699,6066.0,2818,3989,4413,4670,4724,6350,5645,5764,5152,1716,1901,3251,4815,4214,4320.0,4744.0,3868,4230,5932.0,b1713,high,12.09037183151387
29,29,P07118,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,40,2513.25,108105.6884,2,1719,3107,2137.0,828,1025,1040,1114,1044,1298,970,749,650,508,502,962,1911,1132,1387.0,1188.0,756,1052,1407.0,b4258,high,10.095091792582288
30,30,P23847,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,40,2246.78,60237.23952,2,4939,2476,15161.0,8170,13275,8661,9853,11652,10138,12011,10693,9324,4327,4713,7740,5160,6365,7698.0,10451.0,8002,11094,7462.0,b3544,high,12.959720530086985
31,31,P06959,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,40,2531.68,66036.77653999999,2,9057,22341,10155.0,3567,6404,5696,5649,21930,7066,6302,5144,5610,7996,8856,10764,9534,13100,13628.0,6814.0,4888,6891,11238.0,b0115,high,13.009101957979299
32,32,P13029,Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2,katG,38,2675.38,79956.11435,2,2199,2215,1900.0,2683,3221,5526,3180,3661,3298,4104,4575,5007,485,435,1541,3729,2122,2182.0,3900.0,3944,3254,2927.0,b3942,high,11.343291923050344
33,33,P0AES4,DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1,gyrA,38,2233.08,96885.40294,2,750,1873,1093.0,479,579,779,711,607,1157,848,734,636,401,388,506,855,671,712.0,726.0,405,637,896.0,b2231,high,9.446869976993296
34,34,P08200,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,icd,38,2595.05,45709.46787,2,33670,19445,34427.0,30054,29587,31728,24591,35445,30532,27433,22201,15274,13663,14036,37449,29759,28245,32222.0,33652.0,21773,28121,23699.0,b1136,high,14.673121919592118
35,35,P0ABB4,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,38,2757.77,50275.81931,2,24156,42417,48805.0,16016,23707,25159,26449,30533,24035,19994,14634,10875,7040,6955,13916,16817,13132,23770.0,24279.0,14507,25885,24016.0,b3732,high,14.24869684137059
36,36,P04825,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,37,2372.98,98838.72264,2,1296,2506,1944.0,1215,1442,1301,1418,1327,1358,1366,1287,1036,604,678,1056,1436,1364,1411.0,1429.0,978,1324,1472.0,b0932,high,10.320075386397123
37,37,P0AD61,Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1,pykF,36,2143.91,50679.24536,2,8902,10333,9259.0,4455,4816,7011,7111,3406,7111,5143,4493,5255,6420,5873,5929,8994,9675,10167.0,6069.0,6137,4950,11825.0,b1676,high,12.69341866026931
38,38,P0A9G6,Isocitrate lyase OS=Escherichia coli (strain K12) GN=aceA PE=1 SV=1,aceA,36,2786.72,47473.57659,2,28173,15283,25688.0,242737,139131,87949,74908,48723,109529,184169,200923,218132,19208,18695,43571,60986,23676,28038.0,138987.0,195985,121542,33323.0,b4015,high,15.98600771446417
39,39,P0AC33,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,36,2533.65,60242.56175,2,1352,6237,5154.0,4783,4156,2807,2523,3289,4712,3725,2337,1543,179,178,778,649,1220,2149.0,4336.0,2088,4416,2749.0,b1612,high,10.989568686154568
40,40,P09546,Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3,putA,36,2535.67,143707.3978,2,128,1513,873.0,117,123,172,134,120,169,151,108,95,106,113,156,113,178,165.0,114.0,77,114,136.0,b1014,high,7.284527967620216
41,41,P21179,Catalase HPII OS=Escherichia coli (strain K12) GN=katE PE=1 SV=1,katE,35,2211.86,84092.42396,2,1180,761,616.0,2061,2429,1822,1863,1150,1603,2315,2779,3141,607,602,1202,616,2033,884.0,1791.0,3328,2113,1121.0,b1732,high,10.477467257171018
42,42,P0A6Z3,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,htpG,35,1847.19,71360.33894,2,2096,8121,4816.0,1330,1939,1951,1973,1554,1942,1679,1341,1130,1892,1958,1864,7184,2620,2253.0,1985.0,1162,2106,2069.0,b0473,high,11.06345167832899
43,43,P0A6P1,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,35,2366.23,30385.76806,2,19872,44439,36078.0,8017,12406,15725,15125,12702,10783,7679,6264,5277,11102,10314,21190,18115,21680,17206.0,11768.0,8289,12319,17724.0,b0170,high,13.734995484237844
44,44,P08839,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,ptsI,35,2206.55,63503.89517,2,10158,5193,4399.0,2651,3257,6470,4118,3075,6956,5090,4040,3375,3060,3538,5527,6983,6137,4769.0,5355.0,4457,3423,9261.0,b2416,high,12.210709570459438
45,45,P0A6E4,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,argG,35,2674.37,49848.81733,2,8325,1035,1307.0,2393,3172,4082,4295,3341,4294,2491,2377,2240,2173,1914,4802,8242,6240,4874.0,3963.0,2880,3827,5915.0,b3172,high,11.71283838491713
46,46,P0A6F3,Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2,glpK,35,2432.72,56177.25025,2,496,13194,24980.0,527,688,426,27858,612,849,1140,1081,1018,513,537,408,531,420,409.0,783.0,414,570,425.0,b3926,high,9.902674413878255
47,47,P0A9M8,Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2,pta,34,2290.93,77105.88253999999,2,1148,2679,1874.0,877,1094,1238,1053,3512,1519,1488,1389,1405,1199,1147,1187,1784,1837,1505.0,1144.0,909,1136,1461.0,b2297,high,10.448671257574874
48,48,P0A850,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,tig,34,2152.85,48144.85133,2,24929,56164,34934.0,11077,15332,15920,18285,14424,14812,12471,9580,7344,7596,6986,17052,19530,15756,21681.0,17976.0,11402,18740,21284.0,b0436,high,13.944602174305645
49,49,P0A940,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,bamA,34,2111.5,90478.46722,2,2029,3023,2921.0,1167,1708,1794,1891,1962,1452,1349,1183,956,971,812,1942,1900,2178,1848.0,1687.0,1255,1562,1898.0,b0177,high,10.65945779491082
50,50,P05055,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,pnp,34,2010.85,77034.97797,2,3171,6269,4446.0,2343,3171,3473,3275,2931,4772,4076,3482,3169,1566,1457,1928,2642,2888,3331.0,3660.0,2234,3146,4051.0,b3164,high,11.58772973060935
51,51,P0A6T1,Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,pgi,34,2068.73,61472.99513,2,4601,5809,7317.0,2918,3204,4260,4494,2572,3773,3049,2677,2443,2663,2656,3751,5862,6171,5591.0,3898.0,3461,3150,4632.0,b4025,high,11.907174084658783
52,52,P0AC41,Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1,sdhA,34,2804.82,64363.08691000001,2,2083,8367,6275.0,6360,4147,4507,3118,4984,6341,5840,5247,4903,696,713,1704,2402,1978,3181.0,4020.0,2734,4172,3371.0,b0723,high,11.714880761871786
53,53,P0A9M0,Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1,lon,33,2210.84,87364.80487,2,1139,3411,1726.0,678,972,1121,1235,1182,1456,1159,877,743,741,826,985,1863,1406,1373.0,1401.0,869,1195,1585.0,b0439,high,10.208584701819484
54,54,P27550,Acetyl-coenzyme A synthetase OS=Escherichia coli (strain K12) GN=acs PE=1 SV=2,acs,33,1996.87,72030.23532,2,995,2346,4067.0,6590,11943,7848,3967,5485,7312,14562,14431,14683,3624,4132,1130,1151,1090,1987.0,10100.0,9872,9177,2489.0,b4069,high,12.146917596793696
55,55,P23538,Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,ppsA,33,1820.57,87361.60027000001,2,1158,2394,2161.0,2609,3040,1574,1851,4184,1852,2098,1870,1824,1265,1229,1896,1681,2050,1246.0,1929.0,1761,3507,607.0,b1702,high,10.84946754825616
56,56,P04079,GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,guaA,33,2391.7,58623.86483,2,3870,3818,13840.0,1392,2089,2535,2318,1640,2373,1473,1107,808,1468,1448,2930,3305,3242,2675.0,1686.0,1295,2459,2993.0,b2507,high,11.130846625926303
57,57,P22523,Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2,mukB,33,2059.61,170107.5558,2,199,463,260.0,152,175,235,199,212,293,268,266,239,48,44,155,302,210,279.0,260.0,165,208,319.0,b0924,high,7.666556670007766
58,59,P0AES6,DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2,gyrB,32,2076.1,89875.87852,2,842,1700,1294.0,528,620,783,753,697,969,755,661,534,588,547,657,843,879,786.0,705.0,475,617,1004.0,b3699,high,9.54735495415064
59,60,P21513,Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6,rne,32,2572.23,118106.8771,2,848,1624,1296.0,565,717,998,751,665,1279,1119,939,864,535,655,699,1129,744,894.0,979.0,566,664,1111.0,b1084,high,9.740713298795198
60,61,P0A8M3,Threonyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=thrS PE=1 SV=1,thrS,32,1942.28,73948.79422000001,2,939,1935,1146.0,646,891,850,947,817,1368,1128,1032,1071,688,608,754,1506,988,1053.0,834.0,652,789,1118.0,b1719,high,9.892360600836996
61,62,P0A799,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,pgk,32,2518.51,41074.62371,2,40039,57863,61210.0,29802,30847,30790,34333,28150,30930,26962,21336,21372,24266,23448,44601,38747,41230,40867.0,25203.0,29926,27811,46061.0,b2926,high,15.005070835764844
62,63,P00370,NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,gdhA,32,1927.2,48532.35541,2,6343,1137,2401.0,3650,3100,5056,4152,3776,8053,5862,4032,2559,637,680,4967,2509,5937,5418.0,4236.0,2406,3520,6184.0,b1761,high,11.697462569071131
63,64,P0A825,Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1,glyA,32,2089.47,45269.96251000001,2,24510,10374,14714.0,9091,13951,16718,14060,15279,13257,9219,6871,5125,9175,8548,24969,19720,24215,21797.0,16057.0,12529,16588,21028.0,b2551,high,13.743955414063004
64,65,P23843,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,oppA,32,1916.49,60842.91364,2,5755,6684,30286.0,2957,5504,6786,4991,5510,6618,6163,5482,4274,7917,8660,14097,3358,6756,9196.0,5278.0,4291,6485,6056.0,b1243,high,12.651174061778631
65,66,P0A9A6,Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,32,2379.17,40280.55906,2,6070,7898,7611.0,3181,3903,4423,4321,4167,3621,2976,2564,2224,1453,1599,5664,5243,5171,5988.0,4712.0,3098,4363,5163.0,b0095,high,11.958195697055789
66,67,P08997,Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1,aceB,32,2238.64,60217.52759,2,4393,2422,3345.0,20350,11574,10897,8308,4700,11474,15539,16882,15952,4146,3429,11216,15460,6073,5058.0,12726.0,16308,9008,4842.0,b4014,high,12.996447841259236
67,68,P33602,NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) GN=nuoG PE=1 SV=4,nuoG,32,2198.98,100217.9683,2,934,3781,2271.0,871,1391,1408,1467,1332,1510,1505,1275,1226,194,175,362,568,770,815.0,1469.0,905,1428,1477.0,b2283,high,9.977835629270416
68,69,P17846,Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4,cysI,31,1902.4,63939.93502999999,2,3011,620,1641.0,1575,2033,2175,2553,1931,1971,1408,1055,980,233,211,890,1952,1542,1791.0,1849.0,1333,1748,2699.0,b2763,high,10.407839499394088
69,70,P00582,DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,31,2183.47,103035.5166,2,440,912,593.0,352,445,442,443,482,460,398,360,340,204,222,278,392,362,417.0,381.0,329,380,423.0,b3863,high,8.621684028353009
70,71,P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A OS=Escherichia coli (strain K12) GN=gapA PE=1 SV=2,gapA,31,1793.43,35492.2309,2,47083,48645,47006.0,20252,22597,30079,32565,21072,33992,21446,15357,13174,16914,17821,25284,51517,39132,39747.0,27169.0,16649,24432,62762.0,b1779,high,14.767985512171792
71,72,P15639,Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1,purH,31,1871.94,57274.98651,2,2728,891,2708.0,1138,2134,2129,2376,2584,2258,1276,1010,832,1415,1226,2365,3268,2956,2502.0,1864.0,1366,2185,2814.0,b4006,high,10.856770272149296
72,73,P0A853,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,31,1872.16,52721.57894,2,613,44379,77262.0,2409,1660,1103,1045,886,2164,3073,3055,3743,451,362,514,761,584,652.0,1655.0,1392,1726,700.0,b3708,high,10.668626861781293
73,74,P25516,Aconitate hydratase 1 OS=Escherichia coli (strain K12) GN=acnA PE=1 SV=3,acnA,31,2147.6,97597.74141,2,595,975,785.0,1601,1333,1525,808,785,980,1298,1452,1343,537,568,598,668,660,505.0,1265.0,1309,1179,675.0,b1276,high,9.831010456289038
74,75,P33599,NADH-quinone oxidoreductase subunit C/D OS=Escherichia coli (strain K12) GN=nuoC PE=1 SV=3,nuoC,31,1769.66,68174.53177999999,2,935,3225,2613.0,889,1324,1542,1631,1067,1743,1579,1501,1264,206,218,509,763,896,997.0,1402.0,909,1220,1508.0,b2286,high,10.069666711834769
75,76,P0A9C5,Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,glnA,30,1686.3,51852.71686,2,17828,7286,8691.0,4983,6478,7101,10251,7185,11472,7979,6991,6998,3323,3485,9159,12088,15327,10670.0,9280.0,6009,6422,13251.0,b3870,high,12.975198780335846
76,77,P09151,2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5,leuA,30,2302.65,57244.09138,2,2711,885,894.0,4243,2917,3170,3381,2093,3700,3827,3791,5032,1835,1460,6311,4732,2207,5256.0,3334.0,4272,3468,3810.0,b0074,high,11.544058794430567
77,78,P37685,Aldehyde dehydrogenase B OS=Escherichia coli (strain K12) GN=aldB PE=1 SV=2,aldB,30,1607.71,56252.47906000001,2,589,729,715.0,1711,2373,1148,1055,1359,1404,3113,4715,7135,3190,3130,714,660,501,594.0,1413.0,2931,1181,455.0,b3588,high,10.416079572071663
78,79,P06149,D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=dld PE=1 SV=3,dld,30,1565.74,64553.60212,2,608,449,619.0,672,691,577,557,577,660,624,521,591,397,440,646,427,602,747.0,573.0,514,604,548.0,b2133,high,9.151586001951232
79,80,P37330,Malate synthase G OS=Escherichia coli (strain K12) GN=glcB PE=1 SV=3,glcB,30,1775.61,80419.85712999999,2,282,632,658.0,2377,990,1074,767,289,835,1555,1741,1365,528,535,282,380,319,436.0,1168.0,1283,900,443.0,b2976,high,9.471072794748725
80,81,P0ABH7,Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1,gltA,30,2043.46,47965.89357,2,9671,16361,22905.0,34014,18189,22205,17601,37156,31664,26675,26529,25070,7346,7213,11332,15412,10203,16664.0,28231.0,18130,19403,20067.0,b0720,high,14.157323693877498
81,82,P35340,Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) GN=ahpF PE=1 SV=2,ahpF,29,1822.39,56124.08085,2,2435,5161,4090.0,2203,2237,3951,2320,1820,2033,1795,1394,1098,388,353,2204,3201,3229,3420.0,2414.0,1484,2379,3058.0,b0606,high,10.996090255597753
82,83,P0A910,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,29,2046.35,37159.64679,2,119680,146530,155611.0,74605,80912,121079,102913,70788,123520,101824,82588,72016,103070,110803,156261,78742,116878,118659.0,75848.0,73020,89206,91352.0,b0957,high,16.606706977154563
83,84,P17169,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] OS=Escherichia coli (strain K12) GN=glmS PE=1 SV=4,glmS,29,2457.09,66834.61906,2,4025,5271,5985.0,1661,2923,1902,3600,2797,2963,2134,1611,1396,1339,1532,2182,4978,2912,4036.0,2422.0,2110,3345,4185.0,b3729,high,11.400487320695662
